official_code,eligibility_base,row_label
P363,After Graduation,M.Sc. (Economics)
P363-NN-1,After Graduation,M.A. (Economics)
P4AE,After Graduation,LL.B.
P4BE-NN1,After Graduation,LL.B.
P375-NN3,After Graduation,"MBA (Tourism, Aviation and Hospitality)"
P762-NNJ,After Graduation,M.Sc. (Interior and Furniture Design)
P772-NN1,After Graduation,M.Design (Interior and Furniture)
P762-NNM,After Graduation,M.Sc. (UI/UX Design)
P762-NNF,After Graduation,M.Sc. (Fashion Design)
P762-NNP,After Graduation,Master of Fashion Management (MFM)
P762-NNL,After Graduation,M.Sc. (Animation and VFX Design)
P471,After Graduation,Master of Fine Arts (MFA)
P764,After Graduation,M.A. (Journalism and Mass Communication)
P767,After Graduation,M.Sc. (Film and TV Production)
P472,After Graduation,Master of Performing Arts (MPA)
P466,After Graduation,M.A. (History)
P46A,After Graduation,M.A. (Psychology)
P46C,After Graduation,M.A. (Applied Psychology)
P46G-NN2A,After Graduation,Master in Clinical Psychology (M.Clin. Psy)
P46A-NN5,After Graduation,M.A. (Counselling Psychology)
P46A-NN2,After Graduation,M.Sc. (Forensic Psychology)
P467,After Graduation,M.A. (Sociology)
P46K,After Graduation,Master of Social Work (MSW)
P468,After Graduation,M.A. (Political Science)
P46I-NN1,After Graduation,M.Sc. (Public Policy)
P469-NN1,After Graduation,M.Sc. (Geography)
P463,After Graduation,M.A. (English)
P4AB,After Graduation,Bachelors of Library and Information Science
P4BB,After Graduation,Bachelors of Library and Information Science
P465,After Graduation,M.A. (Punjabi/Hindi)
P464,After Graduation,M.A. (Punjabi/Hindi)
P6A1,After Graduation,B.Ed.
P661,After Graduation,M.A. (Education)
P6A2,After Graduation,M.P.Ed.
P6B2,After Graduation,M.P.Ed.
P172,After Graduation,M.Tech. (Computer Science and Engg.)
P172-YNQ,After Graduation,M.Tech. (Computer Science and Engineering) (by Research) [1+1 with international credit transfer option]
P17X,After Graduation,M.Tech. (Machine Learning and Artificial Intelligence)
P17AC,After Graduation,M.Tech. (Data Science and Analytics)
P17AD,After Graduation,M.Tech. (Information Security and Cyber Forensics)
P17E,After Graduation,M.Tech. (Aerospace Engineering)
P17N,After Graduation,M.Tech. (Structural Engg.)
P17R,After Graduation,M.Tech. (Construction Management)
P17F,After Graduation,M.Tech. (VLSI Design)
P175-NNA,After Graduation,M.Tech (Robotics and Artificial Intelligence)
